tconst	titleType	primaryTitle	originalTitle	isAdult	2018	endYear	runtimeMinutes	genres
tt0914376	tvMiniSeries	The Innocent Man	The Innocent Man	0	2018	2018	284	"Crime,Documentary"
tt10026616	tvMiniSeries	Apokalypsis: The Final Warning	Apokalypsis: The Final Warning	0	2018	\N	240	Documentary
tt10078838	tvSpecial	Voice Arts® Awards	Voice Arts® Awards	0	2018	\N	200	News
tt10125822	tvMiniSeries	Marusya	Marusya	0	2018	2018	192	Romance
tt10097824	movie	Use Me Tokiye Aur Rokiye	Use Me Tokiye Aur Rokiye	0	2018	\N	180	\N
tt10105094	tvSpecial	Verizon 360: 92nd Annual Macy's Thanksgiving Day Parade	Verizon 360: 92nd Annual Macy's Thanksgiving Day Parade	0	2018	\N	180	\N
tt10122860	tvSpecial	Zee Cine Awards	Zee Cine Awards	0	2018	\N	175	\N
tt10079038	video	Questions for E. Michael Jones	Questions for E. Michael Jones	0	2018	\N	165	"News,Talk-Show"
tt10087896	tvSpecial	Die goldene Kamera	Die goldene Kamera	0	2018	\N	163	\N
tt10041718	tvEpisode	Dinners of Death: The Texas Chain Saw Massacre	Dinners of Death: The Texas Chain Saw Massacre	0	2018	\N	158	"Comedy,Fantasy,Horror"
tt10045014	movie	Rangu	Rangu	0	2018	\N	156	Action
tt10043436	tvEpisode	Dinners of Death: Dead or Alive	Dinners of Death: Dead or Alive	0	2018	\N	151	"Comedy,Fantasy,Horror"
tt10047914	tvEpisode	Axis & Allies & Zombies Part 1	Axis & Allies & Zombies Part 1	0	2018	\N	151	Game-Show
tt10013634	movie	Cinderella	Cinderella	0	2018	\N	150	Musical
tt10051134	tvMovie	Deutscher Filmpreis 2018	Deutscher Filmpreis 2018	0	2018	\N	145	Family
tt10054456	tvSpecial	Stairway	Stairway	0	2018	\N	143	"Music,Reality-TV"
tt10047828	tvEpisode	A Very Joe Bob Christmas: Phantasm III	A Very Joe Bob Christmas: Phantasm III	0	2018	\N	141	"Comedy,Fantasy,Horror"
tt10116482	movie	Krymskaya Istoriya X	Krymskaya Istoriya X	0	2018	\N	135	Drama
tt10075416	video	En Passant	En Passant	0	2018	\N	134	Thriller
tt10047898	tvEpisode	A Very Joe Bob Christmas: Phantasm Ravager	A Very Joe Bob Christmas: Phantasm Ravager	0	2018	\N	130	"Comedy,Fantasy,Horror"
tt10047888	tvEpisode	A Very Joe Bob Christmas: Phantasm IV	A Very Joe Bob Christmas: Phantasm IV	0	2018	\N	127	"Comedy,Fantasy,Horror"
tt10043452	tvEpisode	Dinners of Death: Blood Rage	Dinners of Death: Blood Rage	0	2018	\N	125	"Comedy,Fantasy,Horror"
tt10102408	movie	Vremeto e nashe	Vremeto e nashe	0	2018	\N	124	Drama
tt0069049	movie	The Other Side of the Wind	The Other Side of the Wind	0	2018	\N	122	Drama
tt10106848	movie	Mamu: And a Mother Too	Mamu: And a Mother Too	0	2018	\N	122	Comedy
tt10004736	tvMiniSeries	Mad Marx	Mad Marx	0	2018	2018	120	Sci-Fi
